"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","LTINT","TOT","PC_PA","M","1960-01",5.82,
"FRA","LTINT","TOT","PC_PA","M","1960-02",5.8,
"FRA","LTINT","TOT","PC_PA","M","1960-03",5.76,
"FRA","LTINT","TOT","PC_PA","M","1960-04",5.81,
"FRA","LTINT","TOT","PC_PA","M","1960-05",5.74,
"FRA","LTINT","TOT","PC_PA","M","1960-06",5.73,
"FRA","LTINT","TOT","PC_PA","M","1960-07",5.68,
"FRA","LTINT","TOT","PC_PA","M","1960-08",5.51,
"FRA","LTINT","TOT","PC_PA","M","1960-09",5.54,
"FRA","LTINT","TOT","PC_PA","M","1960-10",5.56,
"FRA","LTINT","TOT","PC_PA","M","1960-11",5.52,
"FRA","LTINT","TOT","PC_PA","M","1960-12",5.49,
"FRA","LTINT","TOT","PC_PA","M","1961-01",5.55,
"FRA","LTINT","TOT","PC_PA","M","1961-02",5.64,
"FRA","LTINT","TOT","PC_PA","M","1961-03",5.59,
"FRA","LTINT","TOT","PC_PA","M","1961-04",5.5,
"FRA","LTINT","TOT","PC_PA","M","1961-05",5.51,
"FRA","LTINT","TOT","PC_PA","M","1961-06",5.47,
"FRA","LTINT","TOT","PC_PA","M","1961-07",5.45,
"FRA","LTINT","TOT","PC_PA","M","1961-08",5.43,
"FRA","LTINT","TOT","PC_PA","M","1961-09",5.45,
"FRA","LTINT","TOT","PC_PA","M","1961-10",5.53,
"FRA","LTINT","TOT","PC_PA","M","1961-11",5.55,
"FRA","LTINT","TOT","PC_PA","M","1961-12",5.56,
"FRA","LTINT","TOT","PC_PA","M","1962-01",5.52,
"FRA","LTINT","TOT","PC_PA","M","1962-02",5.62,
"FRA","LTINT","TOT","PC_PA","M","1962-03",5.62,
"FRA","LTINT","TOT","PC_PA","M","1962-04",5.48,
"FRA","LTINT","TOT","PC_PA","M","1962-05",5.53,
"FRA","LTINT","TOT","PC_PA","M","1962-06",5.4,
"FRA","LTINT","TOT","PC_PA","M","1962-07",5.32,
"FRA","LTINT","TOT","PC_PA","M","1962-08",5.33,
"FRA","LTINT","TOT","PC_PA","M","1962-09",5.37,
"FRA","LTINT","TOT","PC_PA","M","1962-10",5.34,
"FRA","LTINT","TOT","PC_PA","M","1962-11",5.37,
"FRA","LTINT","TOT","PC_PA","M","1962-12",5.31,
"FRA","LTINT","TOT","PC_PA","M","1963-01",5.34,
"FRA","LTINT","TOT","PC_PA","M","1963-02",5.36,
"FRA","LTINT","TOT","PC_PA","M","1963-03",5.36,
"FRA","LTINT","TOT","PC_PA","M","1963-04",5.29,
"FRA","LTINT","TOT","PC_PA","M","1963-05",5.36,
"FRA","LTINT","TOT","PC_PA","M","1963-06",5.28,
"FRA","LTINT","TOT","PC_PA","M","1963-07",5.24,
"FRA","LTINT","TOT","PC_PA","M","1963-08",5.28,
"FRA","LTINT","TOT","PC_PA","M","1963-09",5.37,
"FRA","LTINT","TOT","PC_PA","M","1963-10",5.41,
"FRA","LTINT","TOT","PC_PA","M","1963-11",5.41,
"FRA","LTINT","TOT","PC_PA","M","1963-12",5.36,
"FRA","LTINT","TOT","PC_PA","M","1964-01",5.45,
"FRA","LTINT","TOT","PC_PA","M","1964-02",5.44,
"FRA","LTINT","TOT","PC_PA","M","1964-03",5.42,
"FRA","LTINT","TOT","PC_PA","M","1964-04",5.46,
"FRA","LTINT","TOT","PC_PA","M","1964-05",5.49,
"FRA","LTINT","TOT","PC_PA","M","1964-06",5.47,
"FRA","LTINT","TOT","PC_PA","M","1964-07",5.4,
"FRA","LTINT","TOT","PC_PA","M","1964-08",5.4,
"FRA","LTINT","TOT","PC_PA","M","1964-09",5.46,
"FRA","LTINT","TOT","PC_PA","M","1964-10",5.5,
"FRA","LTINT","TOT","PC_PA","M","1964-11",5.45,
"FRA","LTINT","TOT","PC_PA","M","1964-12",5.45,
"FRA","LTINT","TOT","PC_PA","M","1965-01",5.44,
"FRA","LTINT","TOT","PC_PA","M","1965-02",6.31,
"FRA","LTINT","TOT","PC_PA","M","1965-03",6.31,
"FRA","LTINT","TOT","PC_PA","M","1965-04",6.32,
"FRA","LTINT","TOT","PC_PA","M","1965-05",6.28,
"FRA","LTINT","TOT","PC_PA","M","1965-06",6.27,
"FRA","LTINT","TOT","PC_PA","M","1965-07",6.15,
"FRA","LTINT","TOT","PC_PA","M","1965-08",6.16,
"FRA","LTINT","TOT","PC_PA","M","1965-09",6.22,
"FRA","LTINT","TOT","PC_PA","M","1965-10",6.34,
"FRA","LTINT","TOT","PC_PA","M","1965-11",6.35,
"FRA","LTINT","TOT","PC_PA","M","1965-12",6.28,
"FRA","LTINT","TOT","PC_PA","M","1966-01",6.32,
"FRA","LTINT","TOT","PC_PA","M","1966-02",6.37,
"FRA","LTINT","TOT","PC_PA","M","1966-03",6.41,
"FRA","LTINT","TOT","PC_PA","M","1966-04",6.44,
"FRA","LTINT","TOT","PC_PA","M","1966-05",6.43,
"FRA","LTINT","TOT","PC_PA","M","1966-06",6.72,
"FRA","LTINT","TOT","PC_PA","M","1966-07",6.6,
"FRA","LTINT","TOT","PC_PA","M","1966-08",6.66,
"FRA","LTINT","TOT","PC_PA","M","1966-09",6.71,
"FRA","LTINT","TOT","PC_PA","M","1966-10",6.76,
"FRA","LTINT","TOT","PC_PA","M","1966-11",6.74,
"FRA","LTINT","TOT","PC_PA","M","1966-12",6.79,
"FRA","LTINT","TOT","PC_PA","M","1967-01",6.78,
"FRA","LTINT","TOT","PC_PA","M","1967-02",6.73,
"FRA","LTINT","TOT","PC_PA","M","1967-03",6.64,
"FRA","LTINT","TOT","PC_PA","M","1967-04",6.72,
"FRA","LTINT","TOT","PC_PA","M","1967-05",6.67,
"FRA","LTINT","TOT","PC_PA","M","1967-06",6.71,
"FRA","LTINT","TOT","PC_PA","M","1967-07",6.68,
"FRA","LTINT","TOT","PC_PA","M","1967-08",6.63,
"FRA","LTINT","TOT","PC_PA","M","1967-09",6.71,
"FRA","LTINT","TOT","PC_PA","M","1967-10",6.69,
"FRA","LTINT","TOT","PC_PA","M","1967-11",6.77,
"FRA","LTINT","TOT","PC_PA","M","1967-12",6.75,
"FRA","LTINT","TOT","PC_PA","M","1968-01",6.78,
"FRA","LTINT","TOT","PC_PA","M","1968-02",6.77,
"FRA","LTINT","TOT","PC_PA","M","1968-03",6.77,
"FRA","LTINT","TOT","PC_PA","M","1968-04",6.73,
"FRA","LTINT","TOT","PC_PA","M","1968-05",6.98,
"FRA","LTINT","TOT","PC_PA","M","1968-06",7.01,
"FRA","LTINT","TOT","PC_PA","M","1968-07",6.94,
"FRA","LTINT","TOT","PC_PA","M","1968-08",6.9,
"FRA","LTINT","TOT","PC_PA","M","1968-09",6.93,
"FRA","LTINT","TOT","PC_PA","M","1968-10",6.95,
"FRA","LTINT","TOT","PC_PA","M","1968-11",7.23,
"FRA","LTINT","TOT","PC_PA","M","1968-12",7.42,"B"
"FRA","LTINT","TOT","PC_PA","M","1969-01",7.56,
"FRA","LTINT","TOT","PC_PA","M","1969-02",7.87,
"FRA","LTINT","TOT","PC_PA","M","1969-03",8.1,
"FRA","LTINT","TOT","PC_PA","M","1969-04",8.08,
"FRA","LTINT","TOT","PC_PA","M","1969-05",8.12,
"FRA","LTINT","TOT","PC_PA","M","1969-06",8.18,
"FRA","LTINT","TOT","PC_PA","M","1969-07",8.16,
"FRA","LTINT","TOT","PC_PA","M","1969-08",8.21,
"FRA","LTINT","TOT","PC_PA","M","1969-09",8.27,
"FRA","LTINT","TOT","PC_PA","M","1969-10",8.44,
"FRA","LTINT","TOT","PC_PA","M","1969-11",8.51,
"FRA","LTINT","TOT","PC_PA","M","1969-12",8.63,
"FRA","LTINT","TOT","PC_PA","M","1970-01",8.74,
"FRA","LTINT","TOT","PC_PA","M","1970-02",8.84,
