Date;Taux;Indice
28/11/2019;-0,07;TEC_10
27/11/2019;-0,07;TEC_10
26/11/2019;-0,05;TEC_10
25/11/2019;-0,04;TEC_10
24/11/2019;-0,04;TEC_10
23/11/2019;-0,04;TEC_10
22/11/2019;-0,04;TEC_10
21/11/2019;-0,03;TEC_10
20/11/2019;-0,07;TEC_10
19/11/2019;-0,03;TEC_10
18/11/2019;-0,02;TEC_10
17/11/2019;-0,02;TEC_10
16/11/2019;-0,02;TEC_10
15/11/2019;-0,02;TEC_10
14/11/2019;-0,02;TEC_10
13/11/2019;0,01;TEC_10
12/11/2019;0,05;TEC_10
11/11/2019;0,02;TEC_10
10/11/2019;0,03;TEC_10
09/11/2019;0,03;TEC_10
08/11/2019;0,03;TEC_10
07/11/2019;-0,03;TEC_10
06/11/2019;-0,02;TEC_10
05/11/2019;-0,02;TEC_10
04/11/2019;-0,06;TEC_10
03/11/2019;-0,11;TEC_10
02/11/2019;-0,11;TEC_10
01/11/2019;-0,11;TEC_10
31/10/2019;-0,12;TEC_10
30/10/2019;-0,07;TEC_10
29/10/2019;-0,06;TEC_10
28/10/2019;-0,05;TEC_10
27/10/2019;-0,1;TEC_10
26/10/2019;-0,1;TEC_10
25/10/2019;-0,1;TEC_10
24/10/2019;-0,1;TEC_10
23/10/2019;-0,12;TEC_10
22/10/2019;-0,08;TEC_10
21/10/2019;-0,05;TEC_10
20/10/2019;-0,11;TEC_10
19/10/2019;-0,11;TEC_10
18/10/2019;-0,11;TEC_10
17/10/2019;-0,1;TEC_10
16/10/2019;-0,14;TEC_10
15/10/2019;-0,18;TEC_10
14/10/2019;-0,16;TEC_10
13/10/2019;-0,17;TEC_10
12/10/2019;-0,17;TEC_10
11/10/2019;-0,17;TEC_10
10/10/2019;-0,22;TEC_10
09/10/2019;-0,26;TEC_10
08/10/2019;-0,25;TEC_10
07/10/2019;-0,27;TEC_10
06/10/2019;-0,27;TEC_10
05/10/2019;-0,27;TEC_10
04/10/2019;-0,27;TEC_10
03/10/2019;-0,24;TEC_10
02/10/2019;-0,22;TEC_10
01/10/2019;-0,2;TEC_10
30/09/2019;-0,25;TEC_10
29/09/2019;-0,27;TEC_10
28/09/2019;-0,27;TEC_10
27/09/2019;-0,27;TEC_10
26/09/2019;-0,28;TEC_10
25/09/2019;-0,3;TEC_10
24/09/2019;-0,27;TEC_10
23/09/2019;-0,27;TEC_10
22/09/2019;-0,21;TEC_10
21/09/2019;-0,21;TEC_10
20/09/2019;-0,21;TEC_10
19/09/2019;-0,18;TEC_10
18/09/2019;-0,19;TEC_10
17/09/2019;-0,18;TEC_10
16/09/2019;-0,18;TEC_10
15/09/2019;-0,2;TEC_10
14/09/2019;-0,2;TEC_10
13/09/2019;-0,2;TEC_10
12/09/2019;-0,27;TEC_10
11/09/2019;-0,22;TEC_10
10/09/2019;-0,25;TEC_10
09/09/2019;-0,28;TEC_10
08/09/2019;-0,28;TEC_10
